12
(1, 90379616 , 25264987, 10.45 ,12.00, 20, 20)
(2, 90380348 , 26130480, 11.30 ,12.30, 15, 15)
(3, 111443012 , 1338672191, 11.30 ,12.00, 15, 15)
(4, 311887112, 1238411858, 11.30, 12.00, 15, 15)
(5, 314047586, 1238420380, 11.30, 12.00, 15, 15)
(6, 1208835840, 1229047680, 11.30, 12.00, 15, 15)
(7, 1165604110, 402328834, 11.30, 12.00, 15, 15)
(8, 1165604050, 402328885, 11.30, 12.00, 15, 15)
(9, 790021299, 1338726454, 11.30, 12.00, 15, 15)
(10, 773982494, 1338726382, 11.30, 12.00, 15, 15)
(11, 314074598, 1346179412, 11.30, 12.00, 15, 15)
(12, 1209790969, 1338726374, 11.30, 12.00, 15, 15)
